,DV_DEVICE_NUMBER,Device Status,DV_DEVICE_STATUS_DESCRIPTION,Device Type,DV_TRAVEL_DISTANCE (in feet),DV_SPEED_FPS,DV_CAPACITY_LBS,DV_FLOOR_FROM,DV_FLOOR_TO,DV_COVERED,,,
1639,1P20845,A,ACTIVE,Passenger Elevator (P),55,10,2000,-1,6,7,,,
1640,1P20846,A,ACTIVE,Passenger Elevator (P),55,10,2000,-1,6,7,,,
1641,1P20847,A,ACTIVE,Passenger Elevator (P),55,10,2000,-1,6,7,,,
1642,1P20904,A,ACTIVE,Passenger Elevator (P),55,10,2000,-1,6,7,,,
1643,1P22167,A,ACTIVE,Passenger Elevator (P),55,10,2000,-1,6,7,,,
1644,1P22267,A,ACTIVE,Passenger Elevator (P),55,10,2000,-1,6,7,,,
1645,1P13997,A,ACTIVE,Passenger Elevator (P),55,11.66666667,2000,-1,6,7,,,
1646,1P14025,A,ACTIVE,Passenger Elevator (P),55,11.66666667,1100,-1,6,7,,,
1647,1P1435,A,ACTIVE,Passenger Elevator (P),55,11.66666667,1100,-1,6,7,,,
1648,1P14397,A,ACTIVE,Passenger Elevator (P),55,11.66666667,1000,-1,6,7,,,
1649,1P14655,A,ACTIVE,Passenger Elevator (P),55,11.66666667,2000,-1,6,7,,,
1650,1P14981,A,ACTIVE,Passenger Elevator (P),55,11.66666667,1800,-1,6,7,,,
1651,1P14982,A,ACTIVE,Passenger Elevator (P),55,11.66666667,1500,-1,6,7,,,
1652,1P15091,A,ACTIVE,Passenger Elevator (P),55,11.66666667,1500,-1,6,7,,,
1653,1P15130,A,ACTIVE,Passenger Elevator (P),56,11.66666667,1000,-1,6,7,,,
1654,1P15164,A,ACTIVE,Passenger Elevator (P),56,11.66666667,1800,-1,6,7,,,
1655,1P15211,A,ACTIVE,Passenger Elevator (P),56,11.66666667,1000,-1,6,7,,,
1656,1P15250,A,ACTIVE,Passenger Elevator (P),56,11.66666667,4000,-1,6,7,,,
1657,1P15332,A,ACTIVE,Passenger Elevator (P),56,11.66666667,1800,-1,6,7,,,
1658,1P15333,A,ACTIVE,Passenger Elevator (P),56,11.66666667,1800,-1,6,7,,,
1659,1P15424,A,ACTIVE,Passenger Elevator (P),56,11.66666667,1000,-1,6,7,,,
1660,1P15425,A,ACTIVE,Passenger Elevator (P),56,11.66666667,1800,-1,6,7,,,
1661,1P15452,A,ACTIVE,Passenger Elevator (P),56,11.66666667,1800,-1,6,7,,,
1662,1P15670,A,ACTIVE,Passenger Elevator (P),56,11.66666667,1800,-1,6,7,,,
1663,1P15773,A,ACTIVE,Passenger Elevator (P),56,11.66666667,2500,-1,6,7,,,
1664,1P15774,A,ACTIVE,Passenger Elevator (P),56,11.66666667,2500,-1,6,7,,,
1665,1P15840,A,ACTIVE,Passenger Elevator (P),56,11.66666667,1000,-1,6,7,,,
1666,1P15957,A,ACTIVE,Passenger Elevator (P),56,11.66666667,1800,-1,6,7,,,
1667,1P15983,A,ACTIVE,Passenger Elevator (P),56,11.66666667,1800,-1,6,7,,,
1668,1P16006,A,ACTIVE,Passenger Elevator (P),56,11.66666667,2000,-1,6,7,,,
1669,1P16182,A,ACTIVE,Passenger Elevator (P),56,11.66666667,2000,-1,6,7,,,
1670,1P16210,A,ACTIVE,Passenger Elevator (P),56,11.66666667,2000,-1,6,7,,,
1671,1P16231,A,ACTIVE,Passenger Elevator (P),56,11.66666667,2000,-1,6,7,,,
1672,1P16247,A,ACTIVE,Passenger Elevator (P),56,11.66666667,2000,-1,6,7,,,
1673,1P16248,A,ACTIVE,Passenger Elevator (P),56,11.66666667,2000,-1,6,7,,,
1674,1P16460,A,ACTIVE,Passenger Elevator (P),56,11.66666667,2500,-1,6,7,,,
1675,1P17915,A,ACTIVE,Passenger Elevator (P),56,11.66666667,1500,-1,6,7,,,
1676,1P18686,A,ACTIVE,Passenger Elevator (P),56,11.66666667,1800,-1,6,7,,,
1677,1P19113,A,ACTIVE,Passenger Elevator (P),56,11.66666667,1500,-1,6,7,,,
1678,1P19787,A,ACTIVE,Passenger Elevator (P),56,11.66666667,5000,-1,6,7,,,
1679,1P19840,A,ACTIVE,Passenger Elevator (P),56,11.66666667,2000,-1,6,7,,,
1680,1P19841,A,ACTIVE,Passenger Elevator (P),56,11.66666667,2000,-1,6,7,,,
1681,1P19847,A,ACTIVE,Passenger Elevator (P),56,11.66666667,2000,-1,6,7,,,
1682,1P19848,A,ACTIVE,Passenger Elevator (P),56,11.66666667,2000,-1,6,7,,,
1683,1P20012,A,ACTIVE,Passenger Elevator (P),56,11.66666667,1350,-1,6,7,,,
1684,1P20013,A,ACTIVE,Passenger Elevator (P),56,11.66666667,1800,-1,6,7,,,
1685,1P20068,A,ACTIVE,Passenger Elevator (P),56,11.66666667,1800,-1,6,7,,,
1686,1P20111,A,ACTIVE,Passenger Elevator (P),56,11.66666667,1500,-1,6,7,,,
1687,1P20146,A,ACTIVE,Passenger Elevator (P),56,11.66666667,1800,-1,6,7,,,
1688,1P20149,A,ACTIVE,Passenger Elevator (P),56,11.66666667,1800,-1,6,7,,,
1689,1P20207,A,ACTIVE,Passenger Elevator (P),56,11.66666667,1600,-1,6,7,,,
1690,1P20336,A,ACTIVE,Passenger Elevator (P),56,11.66666667,1800,-1,6,7,,,
1691,1P20337,A,ACTIVE,Passenger Elevator (P),56,11.66666667,1800,-1,6,7,,,
1692,1P20387,A,ACTIVE,Passenger Elevator (P),56,11.66666667,1800,-1,6,7,,,
1693,1P20435,A,ACTIVE,Passenger Elevator (P),56,11.66666667,1800,-1,6,7,,,
1694,1P20441,A,ACTIVE,Passenger Elevator (P),56,11.66666667,1800,-1,6,7,,,
1695,1P20594,A,ACTIVE,Passenger Elevator (P),56,11.66666667,1800,-1,6,7,,,
1696,1P20623,A,ACTIVE,Passenger Elevator (P),56,11.66666667,2000,-1,6,7,,,
1697,1P20629,A,ACTIVE,Passenger Elevator (P),56,11.66666667,1800,-1,6,7,,,
1698,1P20633,A,ACTIVE,Passenger Elevator (P),56,11.66666667,1500,-1,6,7,,,
1699,1P20640,A,ACTIVE,Passenger Elevator (P),56,11.66666667,2000,-1,6,7,,,
1700,1P20647,A,ACTIVE,Passenger Elevator (P),56,11.66666667,1800,-1,6,7,,,
1701,1P20648,A,ACTIVE,Passenger Elevator (P),56,11.66666667,1800,-1,6,7,,,
1702,1P20650,A,ACTIVE,Passenger Elevator (P),56,11.66666667,1800,-1,6,7,,,
1703,1P20651,A,ACTIVE,Passenger Elevator (P),56,11.66666667,1800,-1,6,7,,,
1704,1P20675,A,ACTIVE,Passenger Elevator (P),56,11.66666667,1200,-1,6,7,,,
1705,1P20677,A,ACTIVE,Passenger Elevator (P),56,11.66666667,2500,-1,6,7,,,
1706,1P20684,A,ACTIVE,Passenger Elevator (P),56,11.66666667,1200,-1,6,7,,,
1707,1P20753,A,ACTIVE,Passenger Elevator (P),56,11.66666667,1800,-1,6,7,,,
1708,1P20756,A,ACTIVE,Passenger Elevator (P),56,11.66666667,2000,-1,6,7,,,
1709,1P20806,A,ACTIVE,Passenger Elevator (P),57,11.66666667,2000,-1,6,7,,,
1710,1P20814,A,ACTIVE,Passenger Elevator (P),57,11.66666667,2000,-1,6,7,,,
1711,1P20816,A,ACTIVE,Passenger Elevator (P),57,11.66666667,2000,-1,6,7,,,
1712,1P20817,A,ACTIVE,Passenger Elevator (P),57,11.66666667,2000,-1,6,7,,,
1713,1P20818,A,ACTIVE,Passenger Elevator (P),57,11.66666667,1800,-1,6,7,,,
1714,1P20819,A,ACTIVE,Passenger Elevator (P),57,11.66666667,1800,-1,6,7,,,
1715,1P20824,A,ACTIVE,Passenger Elevator (P),57,11.66666667,2000,-1,6,7,,,
1716,1P20895,A,ACTIVE,Passenger Elevator (P),57,11.66666667,1000,-1,6,7,,,
1717,1P20905,A,ACTIVE,Passenger Elevator (P),57,11.66666667,2000,-1,6,7,,,
1718,1P20936,A,ACTIVE,Passenger Elevator (P),57,11.66666667,1000,-1,6,7,,,
1719,1P20945,A,ACTIVE,Passenger Elevator (P),57,11.66666667,4000,-1,6,7,,,
1720,1P20946,A,ACTIVE,Passenger Elevator (P),57,11.66666667,4500,-1,6,7,,,
1721,1P20960,A,ACTIVE,Passenger Elevator (P),57,11.66666667,1000,-1,6,7,,,
1722,1P21042,A,ACTIVE,Passenger Elevator (P),57,11.66666667,750,-1,6,7,,,
1723,1P21097,A,ACTIVE,Passenger Elevator (P),57,11.66666667,800,-1,6,7,,,
1724,1P2110,A,ACTIVE,Passenger Elevator (P),57,11.66666667,1500,-1,6,7,,,
1725,1P21237,A,ACTIVE,Passenger Elevator (P),57,11.66666667,1000,-1,6,7,,,
1726,1P2124,A,ACTIVE,Passenger Elevator (P),57,11.66666667,2000,-1,6,7,,,
1727,1P21266,A,ACTIVE,Passenger Elevator (P),57,11.66666667,1750,-1,6,7,,,
1728,1P21274,A,ACTIVE,Passenger Elevator (P),57,11.66666667,1000,-1,6,7,,,
1729,1P21275,A,ACTIVE,Passenger Elevator (P),57,11.66666667,1000,-1,6,7,,,
1730,1P21591,A,ACTIVE,Passenger Elevator (P),57,11.66666667,850,-1,6,7,,,
1731,1P21608,A,ACTIVE,Passenger Elevator (P),57,11.66666667,3000,-1,6,7,,,
1732,1P2161,A,ACTIVE,Passenger Elevator (P),57,11.66666667,1500,-1,6,7,,,
1733,1P2176,A,ACTIVE,Passenger Elevator (P),57,11.66666667,3000,-1,6,7,,,
1734,1P2213,A,ACTIVE,Passenger Elevator (P),57,11.66666667,1800,-1,6,7,,,
1735,1P2222,A,ACTIVE,Passenger Elevator (P),57,11.66666667,1500,-1,6,7,,,
1736,1P2227,A,ACTIVE,Passenger Elevator (P),57,11.66666667,2900,-1,6,7,,,
1737,1P14596,A,ACTIVE,Passenger Elevator (P),57,13.33333333,2000,-1,6,7,,,
1738,1P14597,A,ACTIVE,Passenger Elevator (P),57,13.33333333,2000,-1,6,7,,,
1739,1P14836,A,ACTIVE,Passenger Elevator (P),57,13.33333333,6000,-1,6,7,,,
1740,1P15283,A,ACTIVE,Passenger Elevator (P),57,13.33333333,1500,-1,6,7,,,
1741,1P1571,A,ACTIVE,Passenger Elevator (P),57,13.33333333,1250,-1,6,7,,,
1742,1P15971,A,ACTIVE,Passenger Elevator (P),57,13.33333333,2000,-1,6,7,,,
1743,1P15972,A,ACTIVE,Passenger Elevator (P),57,13.33333333,2500,-1,6,7,,,
1744,1P16032,A,ACTIVE,Passenger Elevator (P),57,13.33333333,1800,-1,6,7,,,
1745,1P19971,A,ACTIVE,Passenger Elevator (P),57,13.33333333,1800,-1,6,7,,,
1746,1P20379,A,ACTIVE,Passenger Elevator (P),57,13.33333333,1800,-1,6,7,,,
1747,1P2121,A,ACTIVE,Passenger Elevator (P),57,13.33333333,1000,-1,6,7,,,
1748,1P21400,A,ACTIVE,Passenger Elevator (P),57,13.33333333,1000,-1,6,7,,,
1749,1P21401,A,ACTIVE,Passenger Elevator (P),57,13.33333333,1000,-1,6,7,,,
1750,1P21403,A,ACTIVE,Passenger Elevator (P),57,13.33333333,1500,-1,6,7,,,
1751,1P22232,A,ACTIVE,Passenger Elevator (P),57,13.33333333,1800,-1,6,7,,,
1752,1P22239,A,ACTIVE,Passenger Elevator (P),57,13.33333333,9000,-1,6,7,,,
1753,1P22241,A,ACTIVE,Passenger Elevator (P),57,13.33333333,1800,-1,6,7,,,
1754,1P25802,A,ACTIVE,Passenger Elevator (P),57,13.33333333,2000,-1,6,7,,,
1755,1P15861,A,ACTIVE,Passenger Elevator (P),57,16.66666667,1500,-1,6,7,,,
1756,1P15878,A,ACTIVE,Passenger Elevator (P),57,16.66666667,1500,-1,6,7,,,
1757,1P15879,A,ACTIVE,Passenger Elevator (P),57,16.66666667,1500,-1,6,7,,,
1758,1P15917,A,ACTIVE,Passenger Elevator (P),57,16.66666667,2200,-1,6,7,,,
1759,1P15920,A,ACTIVE,Passenger Elevator (P),57,16.66666667,2000,-1,6,7,,,
1760,1P15958,A,ACTIVE,Passenger Elevator (P),58,16.66666667,1800,-1,6,7,,,
1761,1P15993,A,ACTIVE,Passenger Elevator (P),58,16.66666667,1800,-1,6,7,,,
1762,1P16020,A,ACTIVE,Passenger Elevator (P),58,16.66666667,1800,-1,6,7,,,
1763,1P16046,A,ACTIVE,Passenger Elevator (P),58,16.66666667,1800,-1,6,7,,,
1764,1P16049,A,ACTIVE,Passenger Elevator (P),58,16.66666667,2000,-1,6,7,,,
1765,1P16101,A,ACTIVE,Passenger Elevator (P),58,16.66666667,1000,-1,6,7,,,
1766,1P1642,A,ACTIVE,Passenger Elevator (P),58,16.66666667,1500,-1,6,7,,,
1767,1P16472,A,ACTIVE,Passenger Elevator (P),58,16.66666667,1500,-1,6,7,,,
1768,1P21355,A,ACTIVE,Passenger Elevator (P),58,16.66666667,1000,-1,6,7,,,
1769,1P22399,A,ACTIVE,Passenger Elevator (P),58,16.66666667,1000,-1,6,7,,,
1770,1P22820,A,ACTIVE,Passenger Elevator (P),58,16.66666667,2000,-1,6,7,,,
1771,1P22821,A,ACTIVE,Passenger Elevator (P),58,16.66666667,2000,-1,6,7,,,
1772,1P22822,A,ACTIVE,Passenger Elevator (P),58,16.66666667,2000,-1,6,7,,,
1773,1P2433,A,ACTIVE,Passenger Elevator (P),58,16.66666667,2000,-1,6,7,,,
1774,1P1641,A,ACTIVE,Passenger Elevator (P),58,20,1500,-1,6,7,,,
1775,1P16461,A,ACTIVE,Passenger Elevator (P),58,20,2500,-1,6,7,,,
1776,1P16462,A,ACTIVE,Passenger Elevator (P),58,20,2500,-1,6,7,,,
1777,1P22780,A,ACTIVE,Passenger Elevator (P),58,20,2000,-1,6,7,,,
1778,1P23140,A,ACTIVE,Passenger Elevator (P),58,20,1500,-1,6,7,,,
1779,1P23938,A,ACTIVE,Passenger Elevator (P),58,20,4000,-1,6,7,,,
1780,1P24806,A,ACTIVE,Passenger Elevator (P),58,20,3500,-1,6,7,,,
1781,1P16330,A,ACTIVE,Passenger Elevator (P),58,23.33333333,2000,-1,6,7,,,
1782,1P16331,A,ACTIVE,Passenger Elevator (P),58,23.33333333,2000,-1,6,7,,,
1783,1P16423,A,ACTIVE,Passenger Elevator (P),58,23.33333333,1800,-1,6,7,,,
1784,1P16424,A,ACTIVE,Passenger Elevator (P),58,23.33333333,1800,-1,6,7,,,
1785,1P16459,A,ACTIVE,Passenger Elevator (P),58,23.33333333,2500,-1,6,7,,,
1786,1P1645,A,ACTIVE,Passenger Elevator (P),58,28.33333333,4500,-1,6,7,,,
1787,1P10049,A,ACTIVE,Passenger Elevator (P),58,0.5,2500,-1,7,8,,,
1788,1P10069,A,ACTIVE,Passenger Elevator (P),58,0.5,2200,-1,7,8,,,
1789,1P10118,A,ACTIVE,Passenger Elevator (P),58,0.5,1800,-1,7,8,,,
1790,1P10213,A,ACTIVE,Passenger Elevator (P),58,0.5,1800,-1,7,8,,,
1791,1P10260,A,ACTIVE,Passenger Elevator (P),58,0.6,2100,-1,7,8,,,
1792,1P17062,A,ACTIVE,Passenger Elevator (P),58,0.6,2000,-1,7,8,,,
1793,1P20644,A,ACTIVE,Passenger Elevator (P),58,0.6,7000,-1,7,8,,,
1794,1P20405,A,ACTIVE,Passenger Elevator (P),58,0.666666667,1800,-1,7,8,,,
1795,1P20643,A,ACTIVE,Passenger Elevator (P),58,0.666666667,7000,-1,7,8,,,
1796,1P22383,A,ACTIVE,Passenger Elevator (P),58,0.666666667,1800,-1,7,8,,,
1797,1P2530,A,ACTIVE,Passenger Elevator (P),58,0.833333333,2500,-1,7,8,,,
1798,1P10068,A,ACTIVE,Passenger Elevator (P),58,1.25,1500,-1,7,8,,,
1799,1P10095,A,ACTIVE,Passenger Elevator (P),58,1.333333333,1500,-1,7,8,,,
1800,1P18865,A,ACTIVE,Passenger Elevator (P),58,1.566666667,2000,-1,7,8,,,
1801,1P10094,A,ACTIVE,Passenger Elevator (P),58,1.633333333,1500,-1,7,8,,,
1802,1P10009,A,ACTIVE,Passenger Elevator (P),58,1.666666667,1800,-1,7,8,,,
1803,1P10059,A,ACTIVE,Passenger Elevator (P),58,1.666666667,1500,-1,7,8,,,
1804,1P10072,A,ACTIVE,Passenger Elevator (P),59,1.666666667,1500,-1,7,8,,,
1805,1P10074,A,ACTIVE,Passenger Elevator (P),59,1.666666667,1500,-1,7,8,,,
1806,1P10078,A,ACTIVE,Passenger Elevator (P),59,1.666666667,2000,-1,7,8,,,
1807,1P10093,A,ACTIVE,Passenger Elevator (P),59,1.666666667,1500,-1,7,8,,,
1808,1P10105,A,ACTIVE,Passenger Elevator (P),59,1.666666667,1500,-1,7,8,,,
1809,1P10109,A,ACTIVE,Passenger Elevator (P),59,1.666666667,1500,-1,7,8,,,
1810,1P10258,A,ACTIVE,Passenger Elevator (P),59,1.666666667,1500,-1,7,8,,,
1811,1P10271,A,ACTIVE,Passenger Elevator (P),59,1.666666667,2000,-1,7,8,,,
1812,1P10629,A,ACTIVE,Passenger Elevator (P),59,1.666666667,2250,-1,7,8,,,
1813,1P10986,A,ACTIVE,Passenger Elevator (P),59,1.666666667,2000,-1,7,8,,,
1814,1P11006,A,ACTIVE,Passenger Elevator (P),59,1.666666667,3500,-1,7,8,,,
1815,1P11012,A,ACTIVE,Passenger Elevator (P),59,1.666666667,3500,-1,7,8,,,
1816,1P11056,A,ACTIVE,Passenger Elevator (P),59,1.666666667,1200,-1,7,8,,,
1817,1P11233,A,ACTIVE,Passenger Elevator (P),59,1.666666667,2000,-1,7,8,,,
1818,1P11412,A,ACTIVE,Passenger Elevator (P),59,1.666666667,5000,-1,7,8,,,
1819,1P11456,A,ACTIVE,Passenger Elevator (P),59,1.666666667,1500,-1,7,8,,,
1820,1P12170,A,ACTIVE,Passenger Elevator (P),59,1.666666667,3300,-1,7,8,,,
1821,1P12264,A,ACTIVE,Passenger Elevator (P),59,1.666666667,4000,-1,7,8,,,
1822,1P12437,A,ACTIVE,Passenger Elevator (P),59,1.666666667,2500,-1,7,8,,,
1823,1P1802,A,ACTIVE,Passenger Elevator (P),59,1.666666667,1000,-1,7,8,,,
1824,1P2054,A,ACTIVE,Passenger Elevator (P),59,1.666666667,1250,-1,7,8,,,
1825,1P20840,A,ACTIVE,Passenger Elevator (P),59,1.666666667,2000,-1,7,8,,,
1826,1P21371,A,ACTIVE,Passenger Elevator (P),59,1.666666667,750,-1,7,8,,,
1827,1P22230,A,ACTIVE,Passenger Elevator (P),59,1.666666667,4000,-1,7,8,,,
1828,1P2246,A,ACTIVE,Passenger Elevator (P),59,1.666666667,2000,-1,7,8,,,
1829,1P23539,A,ACTIVE,Passenger Elevator (P),59,1.666666667,9000,-1,7,8,,,
1830,1P24106,A,ACTIVE,Passenger Elevator (P),59,1.666666667,1700,-1,7,8,,,
1831,1P2424,A,ACTIVE,Passenger Elevator (P),59,1.666666667,2500,-1,7,8,,,
1832,1P2464,A,ACTIVE,Passenger Elevator (P),59,1.666666667,1800,-1,7,8,,,
1833,1P2483,A,ACTIVE,Passenger Elevator (P),59,1.666666667,2500,-1,7,8,,,
1834,1P25458,A,ACTIVE,Passenger Elevator (P),59,1.666666667,2000,-1,7,8,,,
1835,1P25550,A,ACTIVE,Passenger Elevator (P),59,1.666666667,1200,-1,7,8,,,
1836,1P16528,A,ACTIVE,Passenger Elevator (P),59,1.7,2500,-1,7,8,,,
1837,1P19743,A,ACTIVE,Passenger Elevator (P),59,1.75,3000,-1,7,8,,,
1838,1P10170,A,ACTIVE,Passenger Elevator (P),59,1.833333333,1500,-1,7,8,,,
1839,1P20838,A,ACTIVE,Passenger Elevator (P),59,1.833333333,2000,-1,7,8,,,
1840,1P10154,A,ACTIVE,Passenger Elevator (P),59,2,1500,-1,7,8,,,
1841,1P10419,A,ACTIVE,Passenger Elevator (P),59,2,1500,-1,7,8,,,
1842,1P10176,A,ACTIVE,Passenger Elevator (P),59,2.083333333,2000,-1,7,8,,,
1843,1P10288,A,ACTIVE,Passenger Elevator (P),59,2.083333333,2000,-1,7,8,,,
1844,1P10385,A,ACTIVE,Passenger Elevator (P),59,2.083333333,2000,-1,7,8,,,
1845,1P20642,A,ACTIVE,Passenger Elevator (P),59,2.083333333,7000,-1,7,8,,,
1846,1P20833,A,ACTIVE,Passenger Elevator (P),59,2.083333333,2000,-1,7,8,,,
1847,1P20834,A,ACTIVE,Passenger Elevator (P),59,2.083333333,1800,-1,7,8,,,
1848,1P24230,A,ACTIVE,Passenger Elevator (P),59,2.083333333,1800,-1,7,8,,,
1849,1P24914,A,ACTIVE,Passenger Elevator (P),59,2.083333333,4000,-1,7,8,,,
1850,1P19742,A,ACTIVE,Passenger Elevator (P),59,2.166666667,3000,-1,7,8,,,
1851,1P16527,A,ACTIVE,Passenger Elevator (P),59,2.25,2500,-1,7,8,,,
1852,1P10548,A,ACTIVE,Passenger Elevator (P),59,2.266666667,2000,-1,7,8,,,
1853,1P10056,A,ACTIVE,Passenger Elevator (P),59,2.5,2500,-1,7,8,,,
1854,1P10106,A,ACTIVE,Passenger Elevator (P),59,2.5,1500,-1,7,8,,,
1855,1P10215,A,ACTIVE,Passenger Elevator (P),59,2.5,1250,-1,7,8,,,
1856,1P10566,A,ACTIVE,Passenger Elevator (P),59,2.5,1750,-1,7,8,,,
1857,1P10687,A,ACTIVE,Passenger Elevator (P),59,2.5,1500,-1,7,8,,,
1858,1P10688,A,ACTIVE,Passenger Elevator (P),59,2.5,1800,-1,7,8,,,
1859,1P11436,A,ACTIVE,Passenger Elevator (P),59,2.5,2000,-1,7,8,,,
1860,1P12073,A,ACTIVE,Passenger Elevator (P),59,2.5,1500,-1,7,8,,,
1861,1P12372,A,ACTIVE,Passenger Elevator (P),59,2.5,1500,-1,7,8,,,
1862,1P2196,A,ACTIVE,Passenger Elevator (P),59,2.5,1500,-1,7,8,,,
1863,1P22229,A,ACTIVE,Passenger Elevator (P),59,2.5,4000,-1,7,8,,,
1864,1P22374,A,ACTIVE,Passenger Elevator (P),60,2.5,2000,-1,7,8,,,
1865,1P2422,A,ACTIVE,Passenger Elevator (P),60,2.5,2500,-1,7,8,,,
1866,1P24537,A,ACTIVE,Passenger Elevator (P),60,2.5,2000,-1,7,8,,,
1867,1P2488,A,ACTIVE,Passenger Elevator (P),60,2.5,2000,-1,7,8,,,
1868,1P2503,A,ACTIVE,Passenger Elevator (P),60,2.5,1000,-1,7,8,,,
1869,1P25312,A,ACTIVE,Passenger Elevator (P),60,2.5,2000,-1,7,8,,,
1870,1P25313,A,ACTIVE,Passenger Elevator (P),60,2.5,2000,-1,7,8,,,
1871,1P25356,A,ACTIVE,Passenger Elevator (P),60,2.5,3500,-1,7,8,,,
1872,1P10041,A,ACTIVE,Passenger Elevator (P),60,3.333333333,1800,-1,7,8,,,
1873,1P11117,A,ACTIVE,Passenger Elevator (P),60,3.333333333,1000,-1,7,8,,,
1874,1P11202,A,ACTIVE,Passenger Elevator (P),60,3.333333333,1750,-1,7,8,,,
1875,1P11718,A,ACTIVE,Passenger Elevator (P),60,3.333333333,2000,-1,7,8,,,
1876,1P12167,A,ACTIVE,Passenger Elevator (P),60,3.333333333,1000,-1,7,8,,,
1877,1P12322,A,ACTIVE,Passenger Elevator (P),60,3.333333333,2300,-1,7,8,,,
1878,1P12647,A,ACTIVE,Passenger Elevator (P),60,3.333333333,2500,-1,7,8,,,
1879,1P13230,A,ACTIVE,Passenger Elevator (P),60,3.333333333,2200,-1,7,8,,,
1880,1P13421,A,ACTIVE,Passenger Elevator (P),60,3.333333333,1500,-1,7,8,,,
1881,1P13448,A,ACTIVE,Passenger Elevator (P),60,3.333333333,2250,-1,7,8,,,
1882,1P1672,A,ACTIVE,Passenger Elevator (P),60,3.333333333,2500,-1,7,8,,,
1883,1P16803,A,ACTIVE,Passenger Elevator (P),60,3.333333333,2500,-1,7,8,,,
1884,1P24062,A,ACTIVE,Passenger Elevator (P),60,3.333333333,2000,-1,7,8,,,
1885,1P24109,A,ACTIVE,Passenger Elevator (P),60,3.333333333,2000,-1,7,8,,,
1886,1P24913,A,ACTIVE,Passenger Elevator (P),60,3.333333333,4000,-1,7,8,,,
1887,1P24915,A,ACTIVE,Passenger Elevator (P),60,3.333333333,2000,-1,7,8,,,
1888,1P2506,A,ACTIVE,Passenger Elevator (P),60,3.333333333,4000,-1,7,8,,,
1889,1P25251,A,ACTIVE,Passenger Elevator (P),60,3.333333333,2000,-1,7,8,,,
1890,1P2548,A,ACTIVE,Passenger Elevator (P),60,3.333333333,2000,-1,7,8,,,
1891,1P10042,A,ACTIVE,Passenger Elevator (P),60,4.166666667,1500,-1,7,8,,,
1892,1P13439,A,ACTIVE,Passenger Elevator (P),60,4.166666667,2250,-1,7,8,,,
1893,1P13884,A,ACTIVE,Passenger Elevator (P),60,4.166666667,2000,-1,7,8,,,
1894,1P1681,A,ACTIVE,Passenger Elevator (P),60,4.166666667,2000,-1,7,8,,,
1895,1P1687,A,ACTIVE,Passenger Elevator (P),60,4.166666667,2000,-1,7,8,,,
1896,1P19192,A,ACTIVE,Passenger Elevator (P),60,4.166666667,6000,-1,7,8,,,
1897,1P2514,A,ACTIVE,Passenger Elevator (P),60,4.166666667,2500,-1,7,8,,,
1898,1P25460,A,ACTIVE,Passenger Elevator (P),60,4.166666667,1200,-1,7,8,,,
1899,1P2550,A,ACTIVE,Passenger Elevator (P),60,4.166666667,5000,-1,7,8,,,
1900,1P12542,A,ACTIVE,Passenger Elevator (P),60,5,2500,-1,7,8,,,
1901,1P12859,A,ACTIVE,Passenger Elevator (P),60,5,1500,-1,7,8,,,
1902,1P13229,A,ACTIVE,Passenger Elevator (P),60,5,1800,-1,7,8,,,
1903,1P13354,A,ACTIVE,Passenger Elevator (P),60,5,1500,-1,7,8,,,
1904,1P14300,A,ACTIVE,Passenger Elevator (P),60,5,1500,-1,7,8,,,
1905,1P17168,A,ACTIVE,Passenger Elevator (P),60,5,2750,-1,7,8,,,
1906,1P18550,A,ACTIVE,Passenger Elevator (P),60,5,2500,-1,7,8,,,
1907,1P1892,A,ACTIVE,Passenger Elevator (P),60,5,1500,-1,7,8,,,
1908,1P1922,A,ACTIVE,Passenger Elevator (P),60,5,3000,-1,7,8,,,
1909,1P12006,A,ACTIVE,Passenger Elevator (P),60,5.833333333,2000,-1,7,8,,,
1910,1P12648,A,ACTIVE,Passenger Elevator (P),60,5.833333333,2500,-1,7,8,,,
1911,1P12649,A,ACTIVE,Passenger Elevator (P),60,5.833333333,3000,-1,7,8,,,
1912,1P1279,A,ACTIVE,Passenger Elevator (P),60,5.833333333,3000,-1,7,8,,,
1913,1P13177,A,ACTIVE,Passenger Elevator (P),60,5.833333333,1800,-1,7,8,,,
1914,1P13348,A,ACTIVE,Passenger Elevator (P),60,5.833333333,1500,-1,7,8,,,
1915,1P13573,A,ACTIVE,Passenger Elevator (P),60,5.833333333,1850,-1,7,8,,,
1916,1P13574,A,ACTIVE,Passenger Elevator (P),60,5.833333333,1850,-1,7,8,,,
1917,1P13600,A,ACTIVE,Passenger Elevator (P),60,5.833333333,2500,-1,7,8,,,
1918,1P14006,A,ACTIVE,Passenger Elevator (P),60,5.833333333,1000,-1,7,8,,,
1919,1P14704,A,ACTIVE,Passenger Elevator (P),60,5.833333333,2500,-1,7,8,,,
1920,1P1695,A,ACTIVE,Passenger Elevator (P),60,5.833333333,1500,-1,7,8,,,
1921,1P1702,A,ACTIVE,Passenger Elevator (P),60,5.833333333,1500,-1,7,8,,,
1922,1P17261,A,ACTIVE,Passenger Elevator (P),60,5.833333333,4000,-1,7,8,,,
1923,1P17912,A,ACTIVE,Passenger Elevator (P),60,5.833333333,1500,-1,7,8,,,
1924,1P18545,A,ACTIVE,Passenger Elevator (P),60,5.833333333,1500,-1,7,8,,,
